wall_ms,elapsed_rt_ms,kind,detail
1789420404700,990749546,hb,"recorder=1;since_fix_ms=708;fixes_this_process=367;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420409713,990754560,hb,"recorder=1;since_fix_ms=722;fixes_this_process=372;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420414720,990759566,hb,"recorder=1;since_fix_ms=727;fixes_this_process=377;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420419726,990764572,hb,"recorder=1;since_fix_ms=731;fixes_this_process=382;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420424740,990769586,hb,"recorder=1;since_fix_ms=745;fixes_this_process=387;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420429749,990774595,hb,"recorder=1;since_fix_ms=755;fixes_this_process=392;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420434753,990779600,hb,"recorder=1;since_fix_ms=761;fixes_this_process=397;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420439765,990784612,hb,"recorder=1;since_fix_ms=774;fixes_this_process=402;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420444774,990789621,hb,"recorder=1;since_fix_ms=782;fixes_this_process=407;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420449778,990794625,hb,"recorder=1;since_fix_ms=791;fixes_this_process=412;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420454791,990799637,hb,"recorder=1;since_fix_ms=887;fixes_this_process=417;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420459800,990804646,hb,"recorder=1;since_fix_ms=808;fixes_this_process=422;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420464805,990809652,hb,"recorder=1;since_fix_ms=816;fixes_this_process=427;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420469809,990814656,hb,"recorder=1;since_fix_ms=817;fixes_this_process=432;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420474818,990819664,hb,"recorder=1;since_fix_ms=826;fixes_this_process=437;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420479825,990824672,hb,"recorder=1;since_fix_ms=884;fixes_this_process=442;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420484837,990829684,hb,"recorder=1;since_fix_ms=839;fixes_this_process=447;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420489846,990834692,hb,"recorder=1;since_fix_ms=851;fixes_this_process=452;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420494855,990839701,hb,"recorder=1;since_fix_ms=860;fixes_this_process=457;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420499868,990844714,hb,"recorder=1;since_fix_ms=876;fixes_this_process=462;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420504877,990849723,hb,"recorder=1;since_fix_ms=884;fixes_this_process=467;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420509884,990854731,hb,"recorder=1;since_fix_ms=893;fixes_this_process=472;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420512804,990857650,sdk_motionchange,"moving=true;route=listener"
1789420514895,990859742,hb,"recorder=1;since_fix_ms=906;fixes_this_process=479;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420519904,990864751,hb,"recorder=1;since_fix_ms=910;fixes_this_process=484;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420524913,990869760,hb,"recorder=1;since_fix_ms=922;fixes_this_process=489;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420529927,990874773,hb,"recorder=1;since_fix_ms=934;fixes_this_process=494;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420534935,990879781,hb,"recorder=1;since_fix_ms=943;fixes_this_process=499;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420539945,990884792,hb,"recorder=1;since_fix_ms=955;fixes_this_process=504;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420544960,990889806,hb,"recorder=1;since_fix_ms=967;fixes_this_process=509;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420549968,990894814,hb,"recorder=1;since_fix_ms=974;fixes_this_process=514;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420554977,990899823,hb,"recorder=1;since_fix_ms=986;fixes_this_process=519;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
